Date,Closing Price (Approx 5-6 PM EST),Score
17 Feb 2025,0.63540477,4
18 Feb 2025,0.6359866,5
19 Feb 2025,0.6357481,5
20 Feb 2025,0.63509804,3
21 Feb 2025,0.64008194,3
22 Feb 2025,0.64008194,3
23 Feb 2025,0.64008194,3
24 Feb 2025,0.63593006,3
25 Feb 2025,0.63532805,2
26 Feb 2025,0.6349569,2
27 Feb 2025,0.6312972,-2
28 Feb 2025,0.62376803,0
1 Mar 2025,0.62376803,2
2 Mar 2025,0.62376803,0
3 Mar 2025,0.6210408,-2
4 Mar 2025,0.62240535,-1
5 Mar 2025,0.62696713,1
6 Mar 2025,0.63363326,-1
7 Mar 2025,0.6336734,-2
8 Mar 2025,0.6336734,1
9 Mar 2025,0.6336734,1
10 Mar 2025,0.63075566,1
11 Mar 2025,0.6281012,1
12 Mar 2025,0.629604,0
13 Mar 2025,0.6321512,0
14 Mar 2025,0.6289308,1
15 Mar 2025,0.6289308,1
16 Mar 2025,0.6289308,1
17 Mar 2025,0.6325511,2
18 Mar 2025,0.6386104,2
19 Mar 2025,0.6362538,1
20 Mar 2025,0.6360514,-1
21 Mar 2025,0.6302786,1
22 Mar 2025,0.6302786,-2
23 Mar 2025,0.6302786,-2
24 Mar 2025,0.6273132,3
25 Mar 2025,0.6287726,0
26 Mar 2025,0.6305568,-1
27 Mar 2025,0.6294851,-2
28 Mar 2025,0.63035804,-4
29 Mar 2025,0.63035804,-3
30 Mar 2025,0.63035804,-3
31 Mar 2025,0.6289308,-4
1 Apr 2025,0.62492186,-2
2 Apr 2025,0.62786466,-2
3 Apr 2025,0.6259389,1
4 Apr 2025,0.6328713,-2
5 Apr 2025,0.6328713,-2
6 Apr 2025,0.6328713,-2
7 Apr 2025,0.6045949,-2
8 Apr 2025,0.5993048,-2
9 Apr 2025,0.5954153,-2
10 Apr 2025,0.6156498,-2
11 Apr 2025,0.62274253,1
12 Apr 2025,0.62274253,7
13 Apr 2025,0.62274253,7
14 Apr 2025,0.6291287,7
15 Apr 2025,0.6325111,1
16 Apr 2025,0.63415563,7
17 Apr 2025,0.6372674,7
18 Apr 2025,0.6390185,5
19 Apr 2025,0.6390185,5
20 Apr 2025,0.6390185,5
21 Apr 2025,0.63783646,5
22 Apr 2025,0.6415603,5
23 Apr 2025,0.6374299,3
24 Apr 2025,0.63653725,-3
25 Apr 2025,0.64131343,5
26 Apr 2025,0.64131343,5
27 Apr 2025,0.64131343,5
28 Apr 2025,0.6397953,5
29 Apr 2025,0.6431695,5
30 Apr 2025,0.63877356,9
1 May 2025,0.6404099,5
2 May 2025,0.6386512,2
3 May 2025,0.6386512,2
4 May 2025,0.6386512,2
5 May 2025,0.6446206,0
6 May 2025,0.6465796,1
7 May 2025,0.64939284,0
8 May 2025,0.64292145,0
9 May 2025,0.6404099,2
10 May 2025,0.6404099,-2
11 May 2025,0.6404099,2
12 May 2025,0.6413957,-2
13 May 2025,0.63734865,2
14 May 2025,0.6468724,-1
15 May 2025,0.6432109,-2
16 May 2025,0.640615,-3
17 May 2025,0.640615,-7
18 May 2025,0.640615,-7
19 May 2025,0.6404919,-3
20 May 2025,0.6459531,-5
21 May 2025,0.64226073,-2
22 May 2025,0.6436663,-5
23 May 2025,0.64131343,-2
24 May 2025,0.64131343,-2
25 May 2025,0.64131343,-2
26 May 2025,0.649646,-2
27 May 2025,0.6489714,-3
28 May 2025,0.6446622,-4
29 May 2025,0.64259094,-4
30 May 2025,0.6445791,-8
31 May 2025,0.6445791,-8
1 Jun 2025,0.6445791,-6
2 Jun 2025,0.64337647,0
3 Jun 2025,0.6492663,-3
4 Jun 2025,0.6468305,0
5 Jun 2025,0.649182,2
6 Jun 2025,0.6508298,4
7 Jun 2025,0.6508298,4
8 Jun 2025,0.6508298,4
9 Jun 2025,0.6494772,4
10 Jun 2025,0.65189046,null
11 Jun 2025,0.65257114,3
12 Jun 2025,0.6504911,3
13 Jun 2025,0.6532105,0
14 Jun 2025,0.6532105,1
15 Jun 2025,0.6532105,1
16 Jun 2025,0.6490135,1
17 Jun 2025,0.65295464,3
18 Jun 2025,0.64792013,3
19 Jun 2025,0.6508722,-4
20 Jun 2025,0.6480041,-4
21 Jun 2025,0.6480041,-5
22 Jun 2025,0.6480041,-5
23 Jun 2025,0.64524454,-3
24 Jun 2025,0.64612,0
25 Jun 2025,0.6492663,0
26 Jun 2025,0.6510417,6
27 Jun 2025,0.6547073,7
28 Jun 2025,0.6547073,7
29 Jun 2025,0.6547073,7
30 Jun 2025,0.6532532,8
1 Jul 2025,0.65828454,6
2 Jul 2025,0.6580246,6
3 Jul 2025,0.6586313,4
4 Jul 2025,0.65733254,3
5 Jul 2025,0.65733254,3
6 Jul 2025,0.65733254,3
7 Jul 2025,0.65552276,-1
8 Jul 2025,0.6492663,1
9 Jul 2025,0.6528267,1
10 Jul 2025,0.65389395,1
11 Jul 2025,0.6587181,-1
12 Jul 2025,0.6587181,-1
13 Jul 2025,0.6587181,-1
14 Jul 2025,0.6581979,-1
15 Jul 2025,0.6549646,-2
16 Jul 2025,0.65155065,-5
17 Jul 2025,0.65299726,-7
18 Jul 2025,0.64888716,-7
19 Jul 2025,0.64888716,-7
20 Jul 2025,0.64888716,-7
21 Jul 2025,0.65121126,-7
22 Jul 2025,0.65248597,-7
23 Jul 2025,0.6554369,-2
24 Jul 2025,0.6601096,-2
25 Jul 2025,0.6591089,-1
26 Jul 2025,0.6591089,-1
27 Jul 2025,0.6591089,-1
28 Jul 2025,0.6568576,-2
29 Jul 2025,0.6526563,-3
30 Jul 2025,0.65146583,-10
31 Jul 2025,0.6438321,-8
1 Aug 2025,0.6428388,-3
2 Aug 2025,0.6428388,-3
3 Aug 2025,0.6428388,-3
4 Aug 2025,0.64741683,-3
5 Aug 2025,0.64691424,-2
6 Aug 2025,0.6472073,-1
7 Aug 2025,0.6502373,0
8 Aug 2025,0.6521455,-2
9 Aug 2025,0.6521455,1
10 Aug 2025,0.6521455,0
11 Aug 2025,0.65286934,-3
12 Aug 2025,0.6515083,2
13 Aug 2025,0.65303993,2
14 Aug 2025,0.6546216,3
15 Aug 2025,0.6501528,5
16 Aug 2025,0.6501528,5
17 Aug 2025,0.6501528,5
18 Aug 2025,0.65091455,5
19 Aug 2025,0.6494772,1
20 Aug 2025,0.64570284,1
21 Aug 2025,0.64354205,1
22 Aug 2025,0.6422195,5
23 Aug 2025,0.6422195,5
24 Aug 2025,0.6422195,5
25 Aug 2025,0.64922416,5
26 Aug 2025,0.6485084,5
27 Aug 2025,0.6494772,5
28 Aug 2025,0.65057576,9
29 Aug 2025,0.65316784,5
30 Aug 2025,0.65316784,5
31 Aug 2025,0.65316784,5
1 Sept 2025,0.654279,5
2 Sept 2025,0.65556574,3
3 Sept 2025,0.6520605,5
4 Sept 2025,0.6543646,4
5 Sept 2025,0.6518055,7
6 Sept 2025,0.6518055,7
