Date,Closing Price (Approx 5-6 PM EST),Score
16 Feb 2025,1.0467916,0
17 Feb 2025,1.0495383,0
18 Feb 2025,1.0485477,0
19 Feb 2025,1.0451505,0
20 Feb 2025,1.0427529,1
21 Feb 2025,1.049979,2
22 Feb 2025,1.049979,2
23 Feb 2025,1.049979,2
24 Feb 2025,1.046244,1
25 Feb 2025,1.0470108,2
26 Feb 2025,1.0516353,1
27 Feb 2025,1.0490978,0
28 Feb 2025,1.0397172,3
1 Mar 2025,1.0397172,3
2 Mar 2025,1.0397172,4
3 Mar 2025,1.0379905,6
4 Mar 2025,1.0490978,8
5 Mar 2025,1.0623606,8
6 Mar 2025,1.0795639,7
7 Mar 2025,1.0793308,8
8 Mar 2025,1.0793308,8
9 Mar 2025,1.0793308,8
10 Mar 2025,1.083541,8
11 Mar 2025,1.0838934,8
12 Mar 2025,1.0915838,10
13 Mar 2025,1.0890874,10
14 Mar 2025,1.0855407,8
15 Mar 2025,1.0855407,8
16 Mar 2025,1.0855407,8
17 Mar 2025,1.0881393,8
18 Mar 2025,1.0926573,8
20 Mar 2025,1.0906315,6
21 Mar 2025,1.0858942,8
22 Mar 2025,1.0858942,8
23 Mar 2025,1.0858942,8
24 Mar 2025,1.082134,8
25 Mar 2025,1.0803803,4
26 Mar 2025,1.0794473,3
27 Mar 2025,1.0745755,5
28 Mar 2025,1.0800302,2
29 Mar 2025,1.0800302,2
30 Mar 2025,1.0800302,2
31 Mar 2025,1.0830716,2
1 Apr 2025,1.082134,0
2 Apr 2025,1.079797,2
3 Apr 2025,1.083541,10
4 Apr 2025,1.1052166,9
5 Apr 2025,1.1052166,9
6 Apr 2025,1.1052166,8
7 Apr 2025,1.0962509,6
8 Apr 2025,1.091703,8
9 Apr 2025,1.0957704,8
10 Apr 2025,1.0954102,8
11 Apr 2025,1.1201972,10
12 Apr 2025,1.1201972,10
13 Apr 2025,1.1201972,10
14 Apr 2025,1.1363636,10
15 Apr 2025,1.1358473,10
16 Apr 2025,1.1286682,11
17 Apr 2025,1.1401209,9
18 Apr 2025,1.1373976,9
19 Apr 2025,1.1373976,9
20 Apr 2025,1.1373976,9
21 Apr 2025,1.1396011,9
22 Apr 2025,1.1514105,9
23 Apr 2025,1.1379154,8
24 Apr 2025,1.1322464,9
25 Apr 2025,1.1390818,7
26 Apr 2025,1.1390818,7
27 Apr 2025,1.1390818,7
28 Apr 2025,1.1368804,7
29 Apr 2025,1.1423349,7
30 Apr 2025,1.1393415,8
1 May 2025,1.1331445,7
2 May 2025,1.1290505,1
3 May 2025,1.1290505,1
4 May 2025,1.1290505,1
5 May 2025,1.1303266,-1
6 May 2025,1.1321182,2
7 May 2025,1.1376565,1
8 May 2025,1.1317338,1
9 May 2025,1.1229646,4
10 May 2025,1.1229646,4
11 May 2025,1.1229646,3
12 May 2025,1.1249859,3
13 May 2025,1.1091393,4
14 May 2025,1.1189437,3
15 May 2025,1.1175681,2
16 May 2025,1.1191943,-1
17 May 2025,1.1191943,-1
18 May 2025,1.1191943,-1
19 May 2025,1.1166946,-2
20 May 2025,1.1247329,-1
21 May 2025,1.1287955,3
22 May 2025,1.1331445,-2
23 May 2025,1.1285408,-3
24 May 2025,1.1285408,-3
25 May 2025,1.1285408,-3
26 May 2025,1.1368804,-3
27 May 2025,1.1388224,-5
28 May 2025,1.1332729,-5
29 May 2025,1.1299435,-5
30 May 2025,1.1370097,-3
31 May 2025,1.1370097,-3
1 Jun 2025,1.1370097,-3
2 Jun 2025,1.1350738,1
3 Jun 2025,1.1441648,0
4 Jun 2025,1.1379154,5
5 Jun 2025,1.1422044,6
6 Jun 2025,1.145213,6
7 Jun 2025,1.145213,6
8 Jun 2025,1.145213,6
9 Jun 2025,1.1396011,7
10 Jun 2025,1.1423349,7
11 Jun 2025,1.1427265,6
12 Jun 2025,1.1490291,6
13 Jun 2025,1.1590172,6
14 Jun 2025,1.1590172,6
15 Jun 2025,1.1590172,6
16 Jun 2025,1.155535,6
17 Jun 2025,1.1566042,7
18 Jun 2025,1.1486331,9
19 Jun 2025,1.1486331,9
20 Jun 2025,1.1500863,9
21 Jun 2025,1.1500863,9
22 Jun 2025,1.1500863,9
23 Jun 2025,1.1526048,8
24 Jun 2025,1.1582117,8
25 Jun 2025,1.1613053,8
26 Jun 2025,1.1659088,10
27 Jun 2025,1.1700011,10
28 Jun 2025,1.1700011,10
29 Jun 2025,1.1700011,10
30 Jun 2025,1.1719208,10
1 Jul 2025,1.1786894,10
2 Jul 2025,1.180777,9
3 Jul 2025,1.1789672,9
4 Jul 2025,1.1760554,9
5 Jul 2025,1.1760554,9
6 Jul 2025,1.1760554,9
7 Jul 2025,1.1778563,7
8 Jul 2025,1.1713717,7
9 Jul 2025,1.172883,7
10 Jul 2025,1.172333,7
11 Jul 2025,1.1704121,6
12 Jul 2025,1.1704121,6
13 Jul 2025,1.1704121,6
14 Jul 2025,1.1691804,6
15 Jul 2025,1.1665889,3
16 Jul 2025,1.160362,4
17 Jul 2025,1.1640089,2
18 Jul 2025,1.1602274,2
19 Jul 2025,1.1602274,2
20 Jul 2025,1.1602274,2
21 Jul 2025,1.161845,2
22 Jul 2025,1.1697274,2
23 Jul 2025,1.1753644,5
24 Jul 2025,1.1777176,5
25 Jul 2025,1.1753644,3
26 Jul 2025,1.1753644,4
27 Jul 2025,1.1753644,4
28 Jul 2025,1.1743982,1
29 Jul 2025,1.1592858,2
30 Jul 2025,1.1551346,-4
31 Jul 2025,1.1411617,-1
1 Aug 2025,1.142074,7
2 Aug 2025,1.142074,7
3 Aug 2025,1.142074,7
4 Aug 2025,1.1594203,7
5 Aug 2025,1.1574074,6
6 Aug 2025,1.1579435,5
7 Aug 2025,1.1660448,5
8 Aug 2025,1.1668612,8
9 Aug 2025,1.1668612,7
10 Aug 2025,1.1668612,7
11 Aug 2025,1.1644155,7
12 Aug 2025,1.161845,8
13 Aug 2025,1.1675423,8
14 Aug 2025,1.1708231,7
15 Aug 2025,1.1653653,7
16 Aug 2025,1.1653653,8
17 Aug 2025,1.1653653,8
18 Aug 2025,1.1708231,8
19 Aug 2025,1.1665889,8
20 Aug 2025,1.1650938,8
21 Aug 2025,1.1659088,4
22 Aug 2025,1.1611705,12
23 Aug 2025,1.1611705,12
24 Aug 2025,1.1611705,12
25 Aug 2025,1.1726079,8
26 Aug 2025,1.16225,9
27 Aug 2025,1.1649581,8
28 Aug 2025,1.1641443,9
29 Aug 2025,1.1683608,7
30 Aug 2025,1.1683608,10
31 Aug 2025,1.1683608,10
1 Sept 2025,1.1691804,7
2 Sept 2025,1.1713717,6
3 Sept 2025,1.1645511,7
4 Sept 2025,1.166725,6
5 Sept 2025,1.1653653,4
6 Sept 2025,1.1653653,4
7 Sept 2025,1.1653653,4
8 Sept 2025,1.172333,4
9 Sept 2025,1.1764705,4
10 Sept 2025,1.1713717,4
11 Sept 2025,1.1704121,3
12 Sept 2025,1.1739845,5
13 Sept 2025,1.1739845,5
14 Sept 2025,1.1739845,5
15 Sept 2025,1.1731582,5
16 Sept 2025,1.176886,3
17 Sept 2025,1.186662,0
18 Sept 2025,1.1817538,0
19 Sept 2025,1.1789672,-1
20 Sept 2025,1.1789672,-1
21 Sept 2025,1.1789672,-1
22 Sept 2025,1.174536,0
23 Sept 2025,1.1802195,0
24 Sept 2025,1.1817538,-1
25 Sept 2025,1.1743982,-1
26 Sept 2025,1.166725,-7
27 Sept 2025,1.166725,-7
28 Sept 2025,1.166725,-7
29 Sept 2025,1.1708231,-6
30 Sept 2025,1.1731582,-6
1 Oct 2025,1.1738467,-4
2 Oct 2025,1.1734335,-5
3 Oct 2025,1.1720581,-4
4 Oct 2025,1.1720581,-5
5 Oct 2025,1.1720581,-5
6 Oct 2025,1.1743982,-4
7 Oct 2025,1.1715089,-5
8 Oct 2025,1.1661807,-5
9 Oct 2025,1.1633317,-5
10 Oct 2025,1.1568718,-5
11 Oct 2025,1.1568718,-5
12 Oct 2025,1.1568718,-5
13 Oct 2025,1.1630613,-3
14 Oct 2025,1.1574074,-3
15 Oct 2025,1.1614401,-2
16 Oct 2025,1.1648223,-1
17 Oct 2025,1.1691804,-2
18 Oct 2025,1.1691804,1
19 Oct 2025,1.1691804,1
20 Oct 2025,1.1655012,0
21 Oct 2025,1.1649581,0
22 Oct 2025,1.1609008,-3
23 Oct 2025,1.1615751,-3
24 Oct 2025,1.1621151,0
25 Oct 2025,1.1621151,0
26 Oct 2025,1.1621151,0
27 Oct 2025,1.1631964,1
28 Oct 2025,1.1649581,5
29 Oct 2025,1.165637,3
30 Oct 2025,1.1609008,6
31 Oct 2025,1.1572735,2
1 Nov 2025,1.1572735,2
2 Nov 2025,1.1572735,2
3 Nov 2025,1.1543345,1
4 Nov 2025,1.152472,2
5 Nov 2025,1.148897,-1
6 Nov 2025,1.1495575,0
7 Nov 2025,1.1552681,0
8 Nov 2025,1.1552681,0
9 Nov 2025,1.1552681,0
10 Nov 2025,1.1570057,0
11 Nov 2025,1.1560694,0
12 Nov 2025,1.1587486,0
13 Nov 2025,1.1594203,4
14 Nov 2025,1.1638733,2
15 Nov 2025,1.1638733,2
16 Nov 2025,1.1638733,2
17 Nov 2025,1.1625204,2
18 Nov 2025,1.1594203,2
19 Nov 2025,1.1583458,5
20 Nov 2025,1.1542013,4
21 Nov 2025,1.1531365,-4
22 Nov 2025,1.1531365,-4
23 Nov 2025,1.1531365,-4
24 Nov 2025,1.1519411,-3
25 Nov 2025,1.1528707,1
26 Nov 2025,1.1574074,1
27 Nov 2025,1.1600928,1
28 Nov 2025,1.1599582,4
29 Nov 2025,1.1599582,4
30 Nov 2025,1.1599582,4
1 Dec 2025,1.1600928,null
2 Dec 2025,1.1613053,8
3 Dec 2025,1.162926,9
4 Dec 2025,1.1674061,10
5 Dec 2025,1.1649581,9
6 Dec 2025,1.1649581,10
7 Dec 2025,1.1649581,10
8 Dec 2025,1.1645511,10
9 Dec 2025,1.1640089,8
10 Dec 2025,1.1630613,6
11 Dec 2025,1.1695906,6
12 Dec 2025,1.1742603,8
13 Dec 2025,1.1742603,8
14 Dec 2025,1.1742603,8
15 Dec 2025,1.1743982,8
16 Dec 2025,1.1755025,4
17 Dec 2025,1.1750882,3
18 Dec 2025,1.1743982,1
19 Dec 2025,1.172883,3
20 Dec 2025,1.172883,3
21 Dec 2025,1.172883,3
22 Dec 2025,1.1715089,3
23 Dec 2025,1.1763322,3
24 Dec 2025,1.1798018,3
25 Dec 2025,1.1785504,3
26 Dec 2025,1.1786894,3
27 Dec 2025,1.1786894,3
28 Dec 2025,1.1786894,3
29 Dec 2025,1.1777176,3
30 Dec 2025,1.1775789,3
31 Dec 2025,1.1750882,3
1 Jan 2026,1.17495,3
2 Jan 2026,1.1750882,0
3 Jan 2026,1.1750882,0
4 Jan 2026,1.1750882,0
5 Jan 2026,1.172333,-3
6 Jan 2026,1.172333,-3
7 Jan 2026,1.1691804,0
8 Jan 2026,1.1680878,-1
9 Jan 2026,1.1661807,4
10 Jan 2026,1.1661807,4
11 Jan 2026,1.172333,4
