Date,Closing Price (Approx 5-6 PM EST),Score
16 Feb 2025,152.79,-9
17 Feb 2025,152.254,-9
18 Feb 2025,151.51,-9
19 Feb 2025,152.045,-9
20 Feb 2025,151.373,-9
21 Feb 2025,149.528,-10
22 Feb 2025,149.528,-10
23 Feb 2025,149.528,-10
24 Feb 2025,149.262,-9
25 Feb 2025,149.698,-9
26 Feb 2025,149.081,-10
27 Feb 2025,149.031,-9
28 Feb 2025,149.779,-9
1 Mar 2025,149.779,-7
2 Mar 2025,149.779,-7
3 Mar 2025,150.591,-10
4 Mar 2025,149.598,-10
5 Mar 2025,149.715,-10
6 Mar 2025,148.889,-8
7 Mar 2025,147.932,-9
8 Mar 2025,147.932,-9
9 Mar 2025,147.932,-9
10 Mar 2025,148.004,-9
11 Mar 2025,147.138,-7
12 Mar 2025,147.709,-9
13 Mar 2025,148.17,-9
14 Mar 2025,147.764,-7
15 Mar 2025,147.764,-7
16 Mar 2025,147.764,-7
17 Mar 2025,148.61,-7
18 Mar 2025,149.139,-6
19 Mar 2025,149.249,-4
20 Mar 2025,148.803,-4
21 Mar 2025,148.753,-2
22 Mar 2025,148.753,-2
23 Mar 2025,148.753,-1
24 Mar 2025,149.275,1
25 Mar 2025,150.665,1
26 Mar 2025,149.87,1
27 Mar 2025,150.514,2
28 Mar 2025,151.012,2
29 Mar 2025,151.012,2
30 Mar 2025,151.012,2
31 Mar 2025,149.83,2
1 Apr 2025,149.896,-3
2 Apr 2025,149.587,-3
3 Apr 2025,148.72,-8
4 Apr 2025,145.929,-5
5 Apr 2025,145.929,-5
6 Apr 2025,145.929,-5
7 Apr 2025,146.935,-5
8 Apr 2025,147.708,-5
9 Apr 2025,146.287,null
10 Apr 2025,147.383,-6
11 Apr 2025,144.541,-8
12 Apr 2025,144.541,-8
13 Apr 2025,144.541,-8
14 Apr 2025,143.49,-8
15 Apr 2025,142.97,-7
16 Apr 2025,143.206,-8
17 Apr 2025,141.743,-5
18 Apr 2025,142.394,-4
19 Apr 2025,142.394,-4
20 Apr 2025,142.394,-4
21 Apr 2025,142.15,-5
22 Apr 2025,140.799,-4
23 Apr 2025,142.368,-2
24 Apr 2025,143.151,-3
25 Apr 2025,142.686,-2
26 Apr 2025,142.686,-2
27 Apr 2025,142.686,-2
28 Apr 2025,143.623,-3
29 Apr 2025,142.047,-2
30 Apr 2025,142.268,-4
1 May 2025,142.995,-4
2 May 2025,145.278,4
3 May 2025,145.278,5
4 May 2025,145.278,5
5 May 2025,144.918,6
6 May 2025,143.72,5
7 May 2025,142.448,7
8 May 2025,143.755,7
9 May 2025,145.838,7
10 May 2025,145.838,7
11 May 2025,145.838,7
12 May 2025,145.323,7
13 May 2025,148.367,7
14 May 2025,147.447,7
15 May 2025,146.641,7
16 May 2025,145.616,7
17 May 2025,145.616,7
18 May 2025,145.616,7
19 May 2025,145.581,6
20 May 2025,144.883,4
21 May 2025,144.459,4
22 May 2025,143.604,3
23 May 2025,144.02,5
24 May 2025,144.02,5
25 May 2025,144.02,5
26 May 2025,142.55,6
27 May 2025,142.74,7
28 May 2025,144.276,7
29 May 2025,144.76,7
30 May 2025,144.123,5
31 May 2025,144.123,5
1 Jun 2025,144.123,5
2 Jun 2025,144.021,1
3 Jun 2025,142.665,2
4 Jun 2025,143.928,-1
5 Jun 2025,142.777,0
6 Jun 2025,143.499,0
7 Jun 2025,143.499,0
8 Jun 2025,143.499,0
9 Jun 2025,144.788,-2
10 Jun 2025,144.541,null
11 Jun 2025,144.842,3
12 Jun 2025,144.484,1
13 Jun 2025,143.457,3
14 Jun 2025,143.457,0
15 Jun 2025,143.457,0
16 Jun 2025,144.067,3
17 Jun 2025,144.704,1
18 Jun 2025,145.244,0
19 Jun 2025,145.086,1
20 Jun 2025,145.394,1
21 Jun 2025,145.394,1
22 Jun 2025,145.394,1
23 Jun 2025,146.054,-1
24 Jun 2025,146.148,-2
25 Jun 2025,144.841,-1
26 Jun 2025,145.154,-3
27 Jun 2025,144.359,-7
28 Jun 2025,144.359,-6
29 Jun 2025,144.359,-7
30 Jun 2025,144.615,-7
1 Jul 2025,144,-7
2 Jul 2025,143.387,-7
3 Jul 2025,143.651,-4
4 Jul 2025,144.922,-4
5 Jul 2025,144.922,-4
6 Jul 2025,144.922,-5
7 Jul 2025,144.443,-4
8 Jul 2025,146.01,-1
9 Jul 2025,146.549,-1
10 Jul 2025,146.267,-1
11 Jul 2025,146.203,1
12 Jul 2025,146.203,1
13 Jul 2025,146.203,1
14 Jul 2025,147.382,1
15 Jul 2025,147.704,2
16 Jul 2025,148.879,4
17 Jul 2025,147.79,6
18 Jul 2025,148.559,5
19 Jul 2025,148.559,5
20 Jul 2025,148.559,5
21 Jul 2025,148.749,3
22 Jul 2025,147.266,3
23 Jul 2025,146.602,3
24 Jul 2025,146.409,1
25 Jul 2025,147.073,-1
26 Jul 2025,147.073,-1
27 Jul 2025,147.073,-1
28 Jul 2025,147.622,1
29 Jul 2025,148.543,4
30 Jul 2025,148.404,4
31 Jul 2025,149.443,5
